,Swedish,English
0,steg ,step
1,förstöra ,Destroy
2,tillhör ,belongs
3,slags ,sort of
4,fly ,escape
5,vare ,it
6,hellre ,rather
7,uppdrag ,mission
8,speciellt ,especially
9,vackert ,beautifully
10,värsta ,worst
11,fina ,Fine
12,spelade ,Played
13,dansa ,dance
14,vila ,rest
15,klarade ,managed
16,söt ,sweet
17,filmen ,the movie
18,värt ,Worth
19,skämt ,joke
20,jävlar ,Damn
21,namnet ,The name
22,skogen ,the forest
23,kär ,in love
24,frun ,wife
25,lösa ,solve
26,gatan ,The street
27,bild ,picture
28,musik ,music
29,sist ,last
30,slutade ,stopped
31,upptagen ,occupied
32,talat ,spoken
33,snacka ,Talk
34,säkerhet ,security
35,dricker ,Drink
36,äkta ,genuine
37,därifrån ,From there
38,hette ,was called
39,jim ,Jim
40,harry ,Harry
41,förlorar ,losing
42,stad ,City
43,drog ,drug
44,general ,General
45,lunch ,lunch
46,ungefär ,approximately
47,lärt ,learned
48,stäng ,Close
49,hög ,high
50,handen ,Hand
51,kasta ,throw
52,adjö ,goodbye
53,varenda ,every
54,brott ,crime
55,bar ,bar
56,byta ,change
57,området ,area
58,valde ,chose
59,glas ,glass
60,unga ,Young
61,ställer ,Places
62,börjat ,began
63,vann ,Won
64,intresserad ,interested
65,nick ,nod
66,jimmy ,Jimmy
67,väntade ,waited
68,köper ,Buying
69,pojkar ,Boys
70,dumt ,stupid
71,åk ,ride
72,sarah ,Sarah
73,ordnar ,arranges
74,fröken ,Miss
75,framtiden ,The future
76,ray ,Ray
77,make ,husband
78,säljer ,sells
79,försvinn ,Disappear
80,pojkvän ,boyfriend
81,snyggt ,Nice
82,minut ,minute
83,flickor ,Girls
84,vackra ,Beautiful
85,dåliga ,Bad
86,spår ,track
87,stör ,disturb
88,tittade ,looked
89,hänger ,Hangs
90,ingenstans ,Nowhere
91,dela ,share
92,närheten ,around
93,bevisa ,prove
94,ljus ,light
95,hinner ,have time to
96,paris ,Paris
97,luktar ,Smells
98,släpper ,release
99,närmare ,closer
100,svär ,swear
101,chansen ,The chance
102,förstått ,understood
103,velat ,Wanted
104,vanligt ,plain
105,drink ,drink
106,tony ,Tony
107,sängen ,the bed
108,bob ,Bob
109,brev ,mail
110,detsamma ,the same
111,överens ,agreed
112,gissa ,guess
113,å ,Å
114,någonstans ,somewhere
115,talas ,spoken
116,väntat ,Expected
117,boken ,The book
118,bill ,Bill
119,arbeta ,work
120,dumma ,Stupid
121,pistol ,gun
122,ansiktet ,the face
123,ringt ,rung
124,röst ,voice
125,akta ,beware
126,säkra ,secure
127,månad ,month
128,ombord ,on board
129,läst ,read
130,själ ,Soul
131,äger ,Own
